comment,score
刚刚收到新手机，外观非常靓丽，大方，舒适，屏幕色泽艳丽，很清晰。运行速度很流畅，无卡顿现象,5
"外观很炫酷！拿起来手感很好！自从我伽了这个巍心！?！ xsxc-618（一定要带上横线哦！），在京东上买东西特别省，萍论来找她，一條换叁元澪花钱~！一天买上十来件，轻轻松松一百元就到手了，不光这一个商品，所有的商品都可以换~真的是巨优惠~！朋友推荐用了.三-佰的.~-卷,可:添-笳+苇:（137-8340-7248)，括号内数字可领使用了两天，感觉非常不错，显示效果惊艳，外放也大声。操作起来很流畅，没有卡顿现象。照相效果也不错，足够应付日常记录生活的点滴。内存大，开好多应用都没问题。内置存储也大，非常漂亮，非常好看，翡翠色很有特点；屏幕很简洁，听筒隐藏在上边，占用空间很小，音效不错，声音挺大很快，尤其是屏幕很顺滑，用起来感觉很好，像素很高，有单反相机的感觉了贴好了手机膜！送了透明手机壳和耳机！快递很快，上午11点订的，下午5点左右就到了！总体感觉非常好，性价比很高！！！系统确实仍然具有优势，降价的时候买的，挺划算，到货速度很快。今天上午送到手中；6G+128G大内存，搭载麒麟710A处理器，运行快，没有卡顿现象；4000毫安电池，待机时间长，正常使用两天一充没有问题；手机外观精致，色彩",5
很好,5
外形外观：美观大方，很有现代感，简洁明快屏幕音效：清晰，声音好听拍照效果：很清晰，满足日常生活娱乐运行速度：目前来看很流畅，远期待观察待机时间：一般使用，两天没问题其他特色：已经贴膜，送了透明保护壳，耳机。内存够用了，性价比很高，关键是比较适合自己的需要。预装了许多软件，系统全新，总之是比较满意的。,5
外形外观：非常漂亮，非常好看，翡翠色很有特点；屏幕很简洁，听筒隐藏在上边，占用空间很小屏幕音效：音效不错，声音挺大运行速度：很快，尤其是屏幕很顺滑，用起来感觉很好拍照效果：像素很高，有单反相机的感觉了待机时间：电池容量大，用的时间长其他特色：贴好了手机膜！送了透明手机壳和耳机！快递很快，上午11点订的，下午5点左右就到了！总体感觉非常好，性价比很高！！！,5
拍照效果：真的厉害?不愧为世界大牌相机！外形外观：外观很炫酷！拿起来手感很好！运行速度：运行很流畅！屏幕音效：屏幕很好，比我iPhone7强太多了！,5
外形外观：老爸用起来感觉很顺手屏幕音效：很不错，华为的很好拍照效果：很清晰，老爸用够了运行速度：6G+128G，很快待机时间：超长待机，估计一般使用能用两天其他特色：值得信赖，值得拥有,5
冲着是中芯国际生产的CPU，买来试试效果如何，主要给小孩使用。使用了两天，感觉非常不错，显示效果惊艳，外放也大声。操作起来很流畅，没有卡顿现象。照相效果也不错，足够应付日常记录生活的点滴。内存大，开好多应用都没问题。内置存储也大，不用关心没空间安装app。,5
买的黑色的外观很好看 买给女儿她自己挑的  她很早就盯上了 前几天就预订了 放在购物车等着21号下单  21号下午就下单了货到付款 .物流很快今天就收到了   手机屏幕很大 这只手机性价比超级高  像素也很好  运行内存和储存容量也很高.这只手机买到就是赚到了.家人都用的华为手机 还送了耳机.华为手机一直是值得信赖的.用过以后再来做详细的评价吧.,5
屏幕大，字体可设置很大，老人用很适合。外观漂亮，可以通过指纹，面部，密码三种方式解锁，方便。运行速度快，性价比高。,5
刚刚收到新手机，外观非常靓丽，大方，舒适，屏幕色泽艳丽，很清晰。运行速度很流畅，无卡顿现象,5
"外观很炫酷！拿起来手感很好！自从我伽了这个巍心！?！ xsxc-618（一定要带上横线哦！），在京东上买东西特别省，萍论来找她，一條换叁元澪花钱~！一天买上十来件，轻轻松松一百元就到手了，不光这一个商品，所有的商品都可以换~真的是巨优惠~！朋友推荐用了.三-佰的.~-卷,可:添-笳+苇:（137-8340-7248)，括号内数字可领使用了两天，感觉非常不错，显示效果惊艳，外放也大声。操作起来很流畅，没有卡顿现象。照相效果也不错，足够应付日常记录生活的点滴。内存大，开好多应用都没问题。内置存储也大，非常漂亮，非常好看，翡翠色很有特点；屏幕很简洁，听筒隐藏在上边，占用空间很小，音效不错，声音挺大很快，尤其是屏幕很顺滑，用起来感觉很好，像素很高，有单反相机的感觉了贴好了手机膜！送了透明手机壳和耳机！快递很快，上午11点订的，下午5点左右就到了！总体感觉非常好，性价比很高！！！系统确实仍然具有优势，降价的时候买的，挺划算，到货速度很快。今天上午送到手中；6G+128G大内存，搭载麒麟710A处理器，运行快，没有卡顿现象；4000毫安电池，待机时间长，正常使用两天一充没有问题；手机外观精致，色彩",5
很好,5
外形外观：美观大方，很有现代感，简洁明快屏幕音效：清晰，声音好听拍照效果：很清晰，满足日常生活娱乐运行速度：目前来看很流畅，远期待观察待机时间：一般使用，两天没问题其他特色：已经贴膜，送了透明保护壳，耳机。内存够用了，性价比很高，关键是比较适合自己的需要。预装了许多软件，系统全新，总之是比较满意的。,5
外形外观：非常漂亮，非常好看，翡翠色很有特点；屏幕很简洁，听筒隐藏在上边，占用空间很小屏幕音效：音效不错，声音挺大运行速度：很快，尤其是屏幕很顺滑，用起来感觉很好拍照效果：像素很高，有单反相机的感觉了待机时间：电池容量大，用的时间长其他特色：贴好了手机膜！送了透明手机壳和耳机！快递很快，上午11点订的，下午5点左右就到了！总体感觉非常好，性价比很高！！！,5
拍照效果：真的厉害?不愧为世界大牌相机！外形外观：外观很炫酷！拿起来手感很好！运行速度：运行很流畅！屏幕音效：屏幕很好，比我iPhone7强太多了！,5
外形外观：老爸用起来感觉很顺手屏幕音效：很不错，华为的很好拍照效果：很清晰，老爸用够了运行速度：6G+128G，很快待机时间：超长待机，估计一般使用能用两天其他特色：值得信赖，值得拥有,5
冲着是中芯国际生产的CPU，买来试试效果如何，主要给小孩使用。使用了两天，感觉非常不错，显示效果惊艳，外放也大声。操作起来很流畅，没有卡顿现象。照相效果也不错，足够应付日常记录生活的点滴。内存大，开好多应用都没问题。内置存储也大，不用关心没空间安装app。,5
买的黑色的外观很好看 买给女儿她自己挑的  她很早就盯上了 前几天就预订了 放在购物车等着21号下单  21号下午就下单了货到付款 .物流很快今天就收到了   手机屏幕很大 这只手机性价比超级高  像素也很好  运行内存和储存容量也很高.这只手机买到就是赚到了.家人都用的华为手机 还送了耳机.华为手机一直是值得信赖的.用过以后再来做详细的评价吧.,5
屏幕大，字体可设置很大，老人用很适合。外观漂亮，可以通过指纹，面部，密码三种方式解锁，方便。运行速度快，性价比高。,5
外形外观：挺时尚的，非常有质感，后盖玻璃效果屏幕音效：屏幕高清屏，分辨率不错拍照效果：4800万像素的，有ai功能非常好运行速度：流畅，玩了下吃鸡没有任何卡顿。待机时间：玩了一会电量基本没动，肯定长续航没跑了其他特色：价格便宜，觉得最近性价比最好的机器就是他了，非常满意,5
新上市的手机，看到需要提前预约，就研究一下，配置很高，同配置的价格最低了。赶快预约购买了，购买后第二天就拿到手机了，使用起来很流畅，运行稳定，拍照清楚。6.39大屏幕超清晰，4000mA电池很给力。这款手机真是良心机！,5
京东送货速度超级快，品质有保证。外形外观：外观亮丽，高端大气上档次。摄像头位置设计突破很大，感觉很新鲜。拍照效果：清晰防抖效果好，颜色亮丽。运行速度：运行速度很快，多个程序和玩游戏，看视频都不卡机。适合老年人使用，唯一需要适应一下。,5
一直很喜欢此品牌的手机，我们一直在用华为的产品，支持国货，京东自营产品很值得信赖，京东的售后服务也很好。几天前开始关注这款手机了，没想到付款成功后的第二天就收到了，这次抢购感觉物有所值，运行速度很快，内存也足，样式也不错，很漂亮，手感也不错，拍照效果嘎嘎的，大品牌值得信赖！很喜欢，赠送的耳机看起来很美,5
外形外观：非常好看，手握很舒适屏幕音效：清晰无杂音拍照效果：清晰度很高运行速度：试了下，速度很快其他特色：外形漂亮，大小合适，颜色很棒,5
宝贝已收到，外形外观特别漂亮，非常喜欢。拍照片效果特别清晰。手机运行速度快，很流畅，充卡顿现象，反应灵敏。屏幕很简单，大方，音效不错，声音很大。,5
外形外观：黑色很大气，颜色很好看屏幕音效：屏幕6.4寸足够大了，买给老人用的，很合适拍照效果：拍照效果这个价位已经很不错了，我的图片照片就是用手机再照的运行速度：现在刚使用还不错，没发现卡顿的情况待机时间：还没使用，希望待机时间长一点其他特色：最新版本，，这几天新出的，而且华为大品牌，能用上两年就超值了，这是家里的第三台华为手机了，之前买了寄了一台600元的用了快两年就是相机镜头摔坏了，才想着买一台新的。,5
