comment,score
外观很惊艳，很难相信这是几百元的低端手机，屏幕效果心事很好，很细腻，拍照效果也不错，运行速度快，待机时间长，尤其是，5000毫安的大电池，续航时间长，不用担心电量的问题，而且价格便宜，以后买手机就是买红米，多买几个留着用，这可是我挣钱的工具，加油！,5
10天之内，买了2台！作为几百元来说的手机只能说千值万值！屏幕大又很清晰，运行速度也快，外形也漂亮。最重要的是5000毫安的大电池，确实耐用，对比了很多款同价位的手机，只有这一款综合性价比最高，确实实用，所以在之前买了一台蓝色的后，又再入一台橙色的，都很漂亮。非常喜欢！,5
宝贝已经收到了，东西非常不错，性价比很高，用起来也很流畅，5***毫安的真的很大，配合这个处理器达到极限省电。超长续航后盖的手感真的很好，好舒服，这个屏幕也很上挡次，声音很大，手感也不错，而且一点也不卡。拍照也很清晰，待机时间也很长，用2天没问题，外观也很时尚，内存也够用，是值，值得入手的一款手机，而且价格也很实惠，计划再来买一部。来说说物流投前下单，第二天就能收到货，而且快递还送货上门，热情服务,5
用了几天后，手机确实不错，也不卡，上网也很迅速，而且拍照也很清晰，计划再来买一部，送给妈妈用。,5
外形外观：外观小巧，精致，虽然是塑料的，但质感很好，拿着很舒服屏幕音效：屏幕这个价位还可以，外放很大声拍照效果：就扫个码的水平运行速度：速度很快，不卡，非常满意待机时间：一次电池，可以用2，3天，续航超级久，备用机最强了其他特色：便宜好用，老人机，备用机首选，699还能要求什么呢,5
屏幕音效：屏幕显示清晰，色彩亮丽，音效不错拍照效果：反应速度很快，拍照很清晰给老人买的，看起来很不错，试一试续航时间,5
外形外观：真的很惊艳，非常漂亮运行速度：运行速度很快，redmi手机同价位配置很高，可以看我拍的参数图。很给力屏幕音效：屏幕摸起来很光滑，音效不错呢待机时间：待机时间没话说，redmi值得信赖拍照效果：拍照很清晰，效果不错，自拍也是很好，智能的调光调色其他特色：包装很不错，物流快。手感也很好。京东买redmi手机值得信赖。,5
买给丈母娘的手机，性价比真的很高，用起来很流畅，MIUI系统果然名不虚传，电池5000毫安真的很大了，配合这个处理器真的达到极限省电，超长续航，后盖的手感真的好好，好舒服，细细的条纹，相机也很清晰，很完美，屏幕看着也不会不舒服，很清晰，当作备用机也是最佳选择,5
红米8A给老爸买的手机，外观很漂亮，时尚大气红色非常好看，手感很好，屏幕清晰，显示效果细腻，清晰，很满意，拍照效果很好，拍照挺清晰的，对老年人来说够用，运行速度挺快，不会卡顿，新手机都挺快的，大毫安电池超长待机，很满意！好评！！,5
手机物美价廉，物超所值，妈妈很喜欢，字体很大，操作简单，老年人很容易上手！拍照也很清楚，通话声音清晰，连个手机壳也没赠送,5
外观很惊艳，很难相信这是几百元的低端手机，屏幕效果心事很好，很细腻，拍照效果也不错，运行速度快，待机时间长，尤其是，5000毫安的大电池，续航时间长，不用担心电量的问题，而且价格便宜，以后买手机就是买红米，多买几个留着用，这可是我挣钱的工具，加油！,5
10天之内，买了2台！作为几百元来说的手机只能说千值万值！屏幕大又很清晰，运行速度也快，外形也漂亮。最重要的是5000毫安的大电池，确实耐用，对比了很多款同价位的手机，只有这一款综合性价比最高，确实实用，所以在之前买了一台蓝色的后，又再入一台橙色的，都很漂亮。非常喜欢！,5
宝贝已经收到了，东西非常不错，性价比很高，用起来也很流畅，5***毫安的真的很大，配合这个处理器达到极限省电。超长续航后盖的手感真的很好，好舒服，这个屏幕也很上挡次，声音很大，手感也不错，而且一点也不卡。拍照也很清晰，待机时间也很长，用2天没问题，外观也很时尚，内存也够用，是值，值得入手的一款手机，而且价格也很实惠，计划再来买一部。来说说物流投前下单，第二天就能收到货，而且快递还送货上门，热情服务,5
用了几天后，手机确实不错，也不卡，上网也很迅速，而且拍照也很清晰，计划再来买一部，送给妈妈用。,5
外形外观：外观小巧，精致，虽然是塑料的，但质感很好，拿着很舒服屏幕音效：屏幕这个价位还可以，外放很大声拍照效果：就扫个码的水平运行速度：速度很快，不卡，非常满意待机时间：一次电池，可以用2，3天，续航超级久，备用机最强了其他特色：便宜好用，老人机，备用机首选，699还能要求什么呢,5
屏幕音效：屏幕显示清晰，色彩亮丽，音效不错拍照效果：反应速度很快，拍照很清晰给老人买的，看起来很不错，试一试续航时间,5
外形外观：真的很惊艳，非常漂亮运行速度：运行速度很快，redmi手机同价位配置很高，可以看我拍的参数图。很给力屏幕音效：屏幕摸起来很光滑，音效不错呢待机时间：待机时间没话说，redmi值得信赖拍照效果：拍照很清晰，效果不错，自拍也是很好，智能的调光调色其他特色：包装很不错，物流快。手感也很好。京东买redmi手机值得信赖。,5
买给丈母娘的手机，性价比真的很高，用起来很流畅，MIUI系统果然名不虚传，电池5000毫安真的很大了，配合这个处理器真的达到极限省电，超长续航，后盖的手感真的好好，好舒服，细细的条纹，相机也很清晰，很完美，屏幕看着也不会不舒服，很清晰，当作备用机也是最佳选择,5
