comment,score
质量很好，是正品，放心购买,5
质量很好，值得购买。质量很好，值得购买。,5
洗净效果：洗净效果还可以吧。溶解性：溶解性怎么说，倒进去后没有仔细观察。使用感受：使用感受还好吧，给单位买的劳保用品，这个比较合适。包装外观：包装外观非常好，在京东上面找了好久，这是唯一一款袋装小克重的。除菌效果：除菌效果不清楚。护色效果：护色效果对洗工作服来说无所谓。,5
东西很好用，也很方便,5
东西很好用，也很方便,5
使用感受：感觉还不错，对我个人来说，挺好的?,5
好评！京东忠实老顾客，一如既往的好，产品好，~，性价比高，还会继续支持。,5
全五分,5
不错 到的挺快的 也方便,5
打扫卫生用的还行,5
此用户未填写评价内容,5
80块多，这一袋啥意思，忽悠**么，,1
商家是**,5
这个洗衣粉很好用，非常喜欢，以后会一直用它。,5
老品牌，值得信赖，快递很快。,5
好用！,5
总体还行吧，价格稍微有点小贵。用这种小包的非常实用。,5
小袋装使用方便，适合公司发劳保,5
洗净效果：好溶解性：快使用感受：清香,5
便宜，好用，用完再来买！,5
买了六大袋，300小袋，只收到了六小袋，**94袋呢发货员太太太马虎了吗？,1
溶解性：好护色效果：好包装外观：严实洗净效果：不错。京东快递给力?,5
是不是最少也得打个一星?本次在京东购物真的是失望至极，85元拍的160g*50袋，结果到了1个160g的，真的是无语了，但是我还是想说说我的想法，这是京东啊，之前可不是这样，现在...物流慢了咱不怨人家，量大了，慢就慢吧，可物品出现这么低级错误的错误，怎么让人理解?！更可气的是，给客服反应的问题，全然不知错在哪儿！还问你发的是数量是1，呵呵，呵呵，呵呵...还要重新说，最后只进行补发！我是没感觉到,1
洗净效果：比较好吧，主要看你舍不舍得放洗衣粉。溶解性：凉水情况下溶解性还可以，不过要想洗的干净最好用温水。使用感受：应该说性价比比较高，小包装使用也比较方便。包装外观：包装外观没什么可说的。除菌效果：除菌效果不清楚。护色效果：我们买这个就是单位使用，主要都是洗工作服的。,5
不错，值得购买,5
挺好的，下次会再买。,5
到货速度很快 每一小包也很精致 对于我们正好适用,5
一直买写个洗衣粉，这次买了3大袋，发给公司司机师傅洗车的座套用，一次一袋很方便,5
商品收到了虽然有点小波折，不过申请售后非常快就解决了，挺满意的,5
洗净效果：杠杠滴溶解性：快速，窥克累使用感受：香香哒包装外观：小巧玲珑除菌效果：好护色效果：良好,5
长期购买，一如既往的好！,5
物流很快,5
还没使用，公司购买的，快捷方便,5
第一次买，不知效果如何。,5
刚收到货还不知道效果，先给快递帅哥点个赞，及时送货上门。,5
不错，味道清香，妈妈讲洗的很好，好用，回来有破损，客服完美解决,5
京东发货就是快哈，分拆什么的都不是事，习惯就好了,5
公司保洁大姐说可以，香香的,5
此用户未填写评价内容,5
此用户未填写评价内容,5
物美价廉，非常时期，相信京东。,5
东西非常好，是正品，物流速度秒杀同行！,5
很好一大袋子,5
用了，效果可以，实用，价格亲民(●?∀?●),5
物流很快，囤货中，忘记屯些口罩啦,5
非常好?,5
不错，不错不用出门就送货上门，点赞,5
一如既往的好！公司一直都使用这款小袋装的，方便使用。,5
还可以。,5
不是一次愉快的购物体验,4
货到挺快 都是小袋包装的,5
此款洗衣粉质量很好的，小包包用起来也方便，不错哟,5
速度快，质量好，服务好，一定要继续这样。。。,5
价格便宜，又经济实惠,5
小包的方便，效果不错,5
第二次买了，公司上清洁，一小代一小代，挺方便的,5
我订单是160g*50袋，收到货就一袋，不知道撒情况。,5
不错我已买了好几次了效果不错,5
挺好的,5
东西可以，物流也好。值得购买。,5
第一次买，用用看，，，，，，，，，，,5
