comment,score
老牌六神经典款非常实用，拖地或洗衣服时放一点既增香又除螨，室内喷洒一点可以除蚊净化空气，用途太多了，喜欢在京东自营店购买，这次还送了小喷瓶和牙刷，挺满意的，京东配送服务也很及时，会继续支持京东！赞赞赞！,5
牙刷很不错，毛很软，牙刷刷完牙之后，让牙齿也很干净,5
谢谢商家送的独立包装的牙刷，看着特别清新干净，还没使用，相信一定是不错的，因为商家是个常年坚持自己的品质，特别靠谱的商家赠送的牙刷也会非常好的，相信商家,5
这款牙刷非常好用，外观设计好看，用着刷牙质量很好。,5
质量很好，物流很好，使用感受很好，家里所有用的吃的几乎全在京东买的，好好好！,5
很经典的味道，去异味很有效果，店家送了小礼物，多次购买了！,5
牙刷柔软好用，清洁度很高，以后还会光顾的,5
货已收到，包装挺讲究的，货物完好无损，非常满意，给物流和快递小哥点个?,5
很好，牙刷毛细。家里吃的用的都是在京东买的，一直信赖京东的品质，京东自营的售后服务杠杠的，快递小哥也很好，每次我买了重的东西都毫无怨言帮我搬上没有电梯的四楼。,5
牙刷 特别好，刷毛质地柔软，使用方便。,5
这牙刷很好，刷起来可以不错，好评。,5
用了好多年的老牌子，还是喜欢用！包装很严实，看的出来店家很用心。谢谢店家了！,5
买花露水还附赠的赠品，真是非常的满意，小瓶里装上花露水，出门的时候喷一喷，驱蚊就清爽。,5
柔软度很好，不伤牙龈，不错，好评,5
正好碰上搞活动，真的很划算，这个是一个很不错的选择，下次还是会继续回购的,5
非常好?始终坚持相信京东商城，非常非常好！,5
送货很快，质量很高，非常满意！！,5
包装完整，没有破损，非常满意,5
牙刷毛很软，刷牙刷的很干净,5
好，很好，实惠，宝贝轻柔，用起来柔软，值得表扬，赞?,5
很好，没有破损，是正品而且价格实惠,5
卖家真好，送的东西实惠又实用，非常感谢,5
买的宝贝收到了，，非常不错，，一盒五瓶，还送了喷雾瓶和两支牙刷，一如既往的好货，感谢卖家，还会光临,5
很大众的牙列，用了觉得还可以的,5
总在京东买日用消耗品，早上下单下午就送到了，又快又保物流质。很棒的购物很棒的！,5
质量很好，物流很好，使用感受很好,5
质量很好，物流很好，使用感受很好,5
好用货正，快递小哥服务态度非常好，速度非常快。非常感谢。,5
东西不错，价廉物美，值得信赖,5
配送的牙刷，很满意的一次购物。哈哈哈,5
很好的商品，店家也热情，还会光临的！,5
物流很快东西物美价廉不错,5
买宝贝送的礼物！好！很好用！,5
很不错，非常实用！卖家能想到这样的赠品也是辛苦了,5
货物已经收到。很好。物流优。,5
还可以吧，包装看起很好，还舍不得用,5
不错，赠品备用，京东购买也成为习惯，很方便,5
非常满意很好，物流很快，贷真价实，多次购买。,5
物廉价美，质量牢靠，非常不错，满意！,5
质量很好，和想象的一样，是我想要的！,5
非常好的购物体验，快递效率高,5
小礼物很实用，谢谢店家的小礼物?！谢谢店家的小礼物?！,5
物流很快，质量很好价格便宜质量不错,5
非常不错，虽然是赠品，很满意哦,5
赠品，很好，牙刷 赠品 颜色随机,5
赠品，质量不错，很划算的产品！,5
毛刷很柔软，大人小孩都好用，,5
很好，发货及时，还有赠品，开票速度也快,5
赠品很好用，大小适中，谢谢了,5
发货速度很快，包装完整，用着放心,5
"商品很好,物流很快.愉快的一次购物.",5
很不错，用起来很好，可以买,5
东西非常好，价格也实惠～,5
牙刷是赠品，看着很不错。,5
这次做活动，性价比不错很喜欢,5
用了，很好很喜欢，谢谢啦！,5
京东物流速度快，东西很好用,5
商家赠品，不错，商家很用心,5
物流股份，风景不错，很好用,5
很好，牙刷毛细。家里吃的用的都是在京东买的，一直信赖京东的品质，京东自营的售后服务杠杠的，快递小哥也很好，每次我买了重的东西都毫无怨言帮我搬上没有电梯的四楼。,5
超快的速度，不错的卖家,5
收到了，非常好，好评,5
很不错的产品 经济实用,5
物流很快！！服务很好！！,5
牙刷 质量 很好！！！,5
东西是正品，外观挺好看，质量还可以就是有点贵。送货速度超级快，快递服务员上门送货，态度非常好，产品质量好谁用谁知道！希望商家再接再厉努力提高技术水平，服务水平，让广发大消费者满意，同时我们消费者也会认真监督，评价，这样我们也可以得到好的产品和消费体验，商家也能更多的销售产品，获得更多利润，实现双赢！共勉吧！,5
满意，柔软度好，外观，品质，质量都满意，下次继续努力，保持合作。,5
上次送的牙刷还没用完呢，质量不错，牙刷毛软硬适中，就是牙刷头有点大,5
给父亲买的、用于老年**肤止痒、父亲说效果好。包装有破损、还好玻璃瓶没有碎。,5
不错。,5
需要什么都会上京东，方便快捷，价格实惠，质量有保证，信赖京东，信赖品牌。,5
不错不错，感觉还蛮不错的，还会继续支持的！京东自营的速度挺快的。,5
花露水 中国人的记忆 还送了牙刷 爽身粉 等等 上海人 实惠细腻 赞 不仅仅是回头客 是很长时间的客人,5
买花露水的赠品，牙刷质量还不错，反正三个月换一次牙刷，留着备用也不错。,5
买花露水赠送的，还没用，感觉还行，京东东西应该不会错，用了以后再来追评。,5
看外观还可以，不会马上用，所以没法具体评价,5
牙刷是送的  看着质量还可以  还没开始用呢  用了以后在写详细用的感受吧,5
随花露水送的，感觉毛比较软，平时用电动牙刷，这个可以出差用,5
一直在京东买东西，第一个速度快，快递小哥服务好，不像其他快递扔蜂巢柜也不会通知你一声；第二个售后服务好，东西有问题也不怕怕，还能开发票，毫无后顾之忧，满满好评！,5
品质好，服务好，物流好，满意的购物，给商家点赞，信任的京东！,5
买六神花露水送的，花露水是我们这面的批发价，四块八一喷壶俩牙刷，值，关键不怕花露水假。,5
牙刷 赠品 颜色随机，虽然是赠品质量挺好的。,5
一直买京东上的东西，质量有保证，物流又快！会一直光顾的……,5
产品挺好用的，我希望会继续购买，希望卖家有今晚的挺好货。,5
牙刷挺好?的，六神花露水送的,5
送货快，包装好，服务也一直满意。价格合适，各种日用品都会趁优惠备上一堆。,5
一家人都用这个，挺好的，谢谢,5
还没使用，看着不错。细毛的,5
东西收到刻，服务态度好！速度快！,5
这个也是送的，上哪出去拿着方便,5
货物包装完好，送货速度快捷方便，快递小哥服务态度好。,5
还用 软软的 清理干净,5
2把牙刷，软硬适中，谢谢老板,5
一直用六神，喜欢这个味道，好评谢谢送的牙刷,5
使用方便，买花露水赠的，还可以,5
挺好用的，方便实用，用的好再买,5
手感舒适，适合多数人群使用。,5
京东一直在这买日用品，办公品，送货快，品质有保障,5
商家送的，应该不错，谢谢啦,5
牙刷是易耗品，谢谢老板。,5
软毛刷，护齿，挺好用,5
送的牙刷还没有使用，不过看着还不错，感谢卖家,5
虽然是赠品，店家有情义，让人暖心。,5
质量好送货速度快以后还上京东,5
谢谢店家送的两把青蛙舒适牙刷。,5
看着还不错   超市里买买也要好几块一个,5
送的牙刷还没有，看着不错,5
京东商城网购一直网络购物的首选，值得信赖的购物平台。,5
： 宝贝不错，客服不错，还会再来,5
买什么送的，质量还不错,5
即使是赠品来的，质量和包装也是棒棒的！！点赞好评！！,5
东东不错，价格再优惠点更好，蛮适用,5
赠送的，看着还不错。,5
留下了，赠品也好用！谢谢京东店家！,5
送的牙刷，在用，还不错，简单防滑,5
是赠品，还没有用，不过看起来还行,5
还未使用 期待效果 送货上门 送货速度快,5
感觉还不错，配送员服务态度好！,5
看着还可以，我觉得赠这种东西比较贴心吧。,5
送的牙刷也不错，旅游可以带着啊,5
品质不错，谢谢商家。,5
牙刷质感还行，可以的,5
谢谢商家送东西，颜色好看。,5
帮邻居买东西送的赠品，挺实惠的,5
用心的小赠品，感觉质量不错,5
赠品，还没有用，看着还不错，,5
东西收到了，下次还会光顾的,5
牙刷挺好的，一两个月换一次,5
价钱便宜又好用，真的是满意满意,5
牙刷品质不错，值得购买,5
质量不错啊！赠品不错了。,5
替公司买的，东西还不错。,5
可以，还会继续购买，谢谢,5
牙刷不错，漂亮值得拥有,5
包装完整 送货及时态度好,5
好，真不错，包装好，快递快。,5
收到了，还好，不错吧!!!!,5
柔软，适合儿童使用，好。,5
还好,5
这倒是送了。看着不错,5
收到了，看着不错，还没有使用,5
一直信赖京东，速度够快！,5
包装完整 送货速度快,5
赠品实用，店家贴心。,5
东西还不错，只是物流因特殊原因有点慢,5
送的，这也要评价？没啥说的,5
没用，家人都用固定的极细毛小牙刷，这个没用,5
送的东西，还没用，希望可以刷牙,5
此赠品牙刷，我应该会喜欢的～,5
不知道好不好还没用呢，用过再来评价。,5
一直都是用这个牌子的，很好用值的拥有，软毛刷起来牙龈不通,5
店家服务还是不错的。还特意打电话问一下。快递盒子超大。哈哈哈 下次搞活动再来买。,5
非常好就是好，一切都很好，太棒了就是好，一切都很好。,5
很不错，颜色很喜欢无色差！很满意,5
牙刷都是几天就换一个 一次买了几十个 这家店不错 很快到货,5
特意买了三只。下了两笔单子。很划算。虽然有运费。抵扣了。棒棒的,5
买过一次了，很好用，刷头不是很硬，刷完牙很舒服。,5
商品已收到，快递很快，用的好的话再次再光顾,5
牙刷质量还不错，柔软易刷，用起来很舒服方便。,5
非常满意，一下买了30支，慢慢用喽,5
赞赞赞。。非常便宜。。而且质量很好。。棒棒棒,5
不错，可以，好，很好，非常好,5
