comment,score
很好，穿上很合身，不掉色！哈哈哈哈哈哈便宜实惠,5
散步时穿的，很透气很凉爽，很实用。,5
客服态度很好，介绍的尺码也合适。物流很快，有可能还会再买。,5
喜欢的颜色，透气凉爽，很实用很划算。,5
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意~",5
衣服很柔顺，物流也挺快的，五星好评,5
很不错的一件T恤，凉爽透气。,5
经济实惠，物美价廉，一分价钱一分货！,5
衣服好白啊，不错啊物美价廉,5
很合适，穿上去挺舒服,5
很好，穿上很合身，不掉色！哈哈哈哈哈哈便宜实惠,5
散步时穿的，很透气很凉爽，很实用。,5
客服态度很好，介绍的尺码也合适。物流很快，有可能还会再买。,5
喜欢的颜色，透气凉爽，很实用很划算。,5
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意~",5
衣服很柔顺，物流也挺快的，五星好评,5
很不错的一件T恤，凉爽透气。,5
经济实惠，物美价廉，一分价钱一分货！,5
衣服好白啊，不错啊物美价廉,5
很合适，穿上去挺舒服,5
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意~",5
质量非常好，太便宜了，很划算的,5
穿着舒适，价格便宜。很满意的一次购物,5
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意~",5
舒服超值 好评 多买多买多买         好,5
非常不错的一次购物，下次还会光顾你家！,5
衣服收到了，物美价廉。物流也很快。,5
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意~",5
衣服很紧，胖子慎购！,5
服务很好！衣服也非常棒！值得信懒,5
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意~",5
以前很少在京东上面买T恤，这次是例外了，真的没有想到9块9还能买到质量不错的T恤，算是给了我一个惊喜吧，价格便宜，发货的速度也快。小哥的服务态度自然是没得说得，看这料子，应该是棉质的没有错，穿起来还不错呢。,5
是否舒适：舒适尺码大小：正好材质：布料版型：不错,5
衣服掉色，比平时穿要偏小一码，挺显身材，135斤身高175，穿2XL刚刚好,5
不好意思买来了忘了评价了，衣服不错物流挺快的。就是有一点忘了评论了我画完才评论真的不好意思?,5
衣服料子不错，虽然是十元但穿着还是很舒服的,5
京东商城好好哈哈哈哈哈哈,5
物流很快，不知道质量如何，一分钱一分货吧，还可以。,5
东西还可以，毕竟便宜嘛,5
衣服不错！应该买2-3件换着穿。,5
买小了尴尬……不过挺舒服的,5
这个价位能买到这个衣服就行了，挺值了,5
好看(??ω??)??，虽然质量还欠缺些,5
忘记了 穿着还不错 第二次购买了,5
东西还可以，毕竟便宜嘛,5
好看，虽然质量欠缺些,5
还可以这个价位，算是不错了,4
不错      牛皮,5
款式就是这样子的，不过价格在那摆着，质量不用期待,5
一分价钱一分货，感觉还可以,5
速度有点慢还能接受！质量还行，毕竟一分钱一分货！,5
衣服不错，穿着舒服,5
衣服收到一直没有穿，看着应该还可以,5
还凑合吧一分钱一分货嘛,5
还行吧，价格在那儿呢。,5
这个是好  衣服啊！,5
物流很快！衣服一般,5
尺码大小：很合身,5
"便宜,布料还行",5
买小了，挺好的,5
材质：  还可以,5
还不错,5
做打底衫很不错的,5
发货速度快 没得说,5
很好很好，物美价廉,5
好穿，穿的好舒服,5
好像是纤维的,5
还行 ，挺满意的,5
实惠，质量可以！,5
价格很实惠,5
可以不错,5
非常满意,5
质量很好,5
质量很好,5
不错不错,5
