comment,score
外观颜值：质量好到爆，比地摊一块钱一个的球好到天上去了大小尺寸：大小尺寸刚刚好，足足有洗脸盆那么大。材质手感：正宗牛皮质感，光滑的很。放在手上简直爱不释手。前提是必须用肥皂多洗手。不然手就非常有味道。做工质量：做工更没得说，全部是手工缝制的针孔眼，保证百分之百漏气，还是十秒就漏完那种。,5
太好了，我是一个学生，买五号，有点大，没关系，质量很好,5
就是这样 比正常足球略小 皮摸着很有感觉 很好,5
下单后很快就收到货了，足球看起来质量还不错，打起气来试一试。,5
大小正合适，不错，赠送了网袋和气针，孩子很喜欢,5
好，很喜欢，孩子正适合，很结实，老板很热情，赠送了球网和球针，?,5
大小尺寸很好外观挺好质量不错,5
很不错，物超所值，孩子很喜欢，超赞！！！,5
不错，确实好，卖家发货有一个坏的。和他联系后给补发了一个，很满意，谢谢下次还在这家买。给五星评价。,5
质量很好，给孩子买的，拿到手就一直踢个不停，孩子很喜欢，物流也很快,5
很好的足球买两次了，服务态度很好，推荐购买给自己的孩子玩足球比赛的。,5
好?，孩子很喜欢，祝愿老板发财,5
快递收到了，小孩特别开心，，，,5
第二次购买，儿子非常喜欢。上次发错货了，这次还好！物流也很顺畅。谢谢！,5
适合小朋友玩，比较软，很有弹性,5
给小孩子买的小孩子很满意，非常喜欢，价格也不贵？,5
足球感觉还是很不错的。踢起来感觉十足,5
宝贝收到了，卖家人很好，中间有点小插曲都一一解决了，孩子们很喜欢。,5
物美价廉不错，快递也快,5
下单买很快就到货了，充气后挺漂亮的，好评,5
很好 客服态度好 冲了气 又便宜,5
给孩子买的，这个价位能买到，很不错了。,5
很便宜，质量也不差，实惠,5
足球质量很好、物流也很快、宝贝很喜欢,5
第二次购买，特别特别好用。,5
很好，孩子很喜欢，下次再买,5
这个皮球很好的耐摔和耐脏,5
绝对绝对绝对的经典款短裤,5
这个足球很好，总的来说性价比很高,5
快递很给力，儿子很喜欢，宝贝不错,5
这个足球很好，我女儿很喜欢。??,5
给小孩买去学校的，价廉物值,5
质量很好，孩子很喜欢。,5
很好！儿子收到很开心?,5
商品很不错～小孩也很喜欢,5
性价比超高的商品，赞,5
可以，皮这些都还不错，就不知道用起来怎么样了。日后追评！,5
买过来的时候有一股臭味，踢着踢着就渐渐消失了，还可以,5
总体感觉不错，如果能顺带送一根打气的针就更好了,5
质量还不错吧！小孩子玩的，宝宝喜欢抢别人的，不喜欢自己家的,5
挺好的，没事情就踢一会,5
表扬京东，哈哈，618也这么快，还便宜，东西也好，棒,5
宝贝收到了，孩子学校要求买的，质量还可以，好评,5
送货很快，大小正好，就是做工不是很精细，给孩子玩的,5
入门级4号足球已签收，质量不错。,5
还不到三天就自爆了，差评,4
宝贝收到了，试用后才来评价的 还可以吧，有需要会再来,5
还没有打开，送货挺快的！买了20个！,5
到的速度很快，儿子拿了急着拆开，但是儿子一踢，足球就脏啦,5
足球挺好，就是沒送打针眼，我还得出去找人借个针眼才能充气，孩子每天玩的可高兴了,5
还可以，第一次送的有问题，老板马上补发了一个。,5
送货很快，大小正好，就是做工不是很精细，给孩子玩的,5
新年快乐，还不错，还好，挺快的,5
还不错 东西质量一般般 毕竟这个价位,5
足球比较轻，对于二年级的孩子正好适合,5
满意，刚好适合小孩运动,5
一分钱一分货，只是能用。还是挺好,5
质量不错，还送了两枚球针和一个球网,5
小孩玩刚好，质量有保证。,5
球比较轻巧，感觉还可以。,5
质量不错?，不过送件大慢。,5
快递速度快2天多就到货了，给个赞,5
产品还是不错的 孩子喜欢 正经玩意,5
货刚到手，感觉还可以,5
速度快，性价比高，好评。,5
一如既往的多快好省！！！,5
有点臭，但质量还可以吧，没送打气的针,5
足球巳经收到了，看着还行就是没有付件连打气针也没有,5
还可以，不过有点小，那个网很容易坏,5
还没打气，一个针头也没送，凑合吧,4
给学生趣味运动会用的，基本符合逾期,5
皮质一般般啊,4
咋不带打气针和球网呢。给4分吧,5
一分钱一分货，暂未使用。,5
9.9还可以，给孩子买来玩的，,5
可以，就是有点小，还有点贵,5
给孩子买的   希望孩子喜欢吧,5
非常好，孩子很喜欢,5
商品不错，就是感觉有点小,5
彼此一次游戏也凑凑看过,5
可以，小孩很喜欢,5
大小尺寸：可以,5
很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好,5
足球质量特好，外观还可以不过就是快递时间有点长,4
小孩好喜欢，质量还好,5
看着不错，打完气还没玩，感觉挺好！,5
带小孩去球场踢过质量不错，已经很满意了。,5
小朋友喜欢就行,5
质量不错,5
质量很好,5
质量不错,5
还好，还没评论小孩就把球丢了,5
很不错,5
就是没打气，麻烦你,5
有球针送一就更好！,5
送个球针就更好了。,5
太好了，我非常喜欢,5
超值,5
儿子超喜欢喜欢的还行吧！,5
总体来说物有所值吧,5
质量很好孩子也喜欢,5
店员服务态度很好！,5
东西可以小孩正好玩,5
不错，到货的还挺快,5
满意，小仔子很爱玩,5
东西还可以，小孩玩,5
好，收到儿子很高兴,5
实惠好用，报告完毕,5
很好，以后来追评,5
很好，小孩很喜欢,5
买给小朋友玩的,5
信赖京东好评,5
结实耐用,5
不错儿子喜欢,5
儿子喜欢，不错,5
物件收到，满意,5
非常非常好,5
东西不错哦?,5
还是那给哦！,5
还算满意,5
满意,5
还好吧，可以。。。。,5
一般都是,5
刚回来了？，,5
满分，谢谢！,5
物有所值,5
还行吧,5
还行吧,5
还好吧,5
也没有打气管,3
买了俩个足球，怎么只给我发来一个球。,2
我明明订的是5号球，你给我整个4号，啥意思？,1
物流有点慢啊，东西还可以,3
没有气针，没有气针，没有气针。,2
一个坏了不知道怎么回事,2
不好，碰到墙就把皮撕开了,1
发货有点慢，未用其它还好吧,3
买回来两三天就坏了,1
没打气筒，质量差,1
不好不好打气嘴凸起真么多,1
没有打气筒，没有球针，光一个没有气的球,3
足球收到了，可是连个气针也没送，也没法充气，,1
差，差差，我下买两个有一个是坏的，加不了气，太气人。,1
不怎么地,1
颜色不一样,1
质量一般,3
竟然开线了！！！！,3
做工质量：球 漏气，打不进去气，没法踢！！！,1
足球整体尺寸相对符合图中描述的尺寸，表层皮缝隙相对较稀疏没多长时间就漏气,3
太假，发的是残次品。建议大家不要购买，好像还有点漏气,5
大小正合适，脚感很好，踢上去很有弹性，外观漂亮，做工细腻，工整，材质很不错，不起皮。,5
大小尺寸：那尺寸很迷你呀，大小合适，打个皮球还是可以的。外观颜值：外观颜值不错，很好，挺棒的。做工质量：质量挺好，打气完全可以，没有问题。材质手感：手感超级胖。京东一如既往的好。相当的喜欢京东购物啦！速度快，物美价廉。今后还会在京东上继续购物。,5
就我这个非常业余的足球人来看，这个足球的价格还是可以的，我家宝贝也很喜欢，刚收到高兴地不得了。足球大小合适，质量也挺好的，TPU复合材质面料，线缝也比较工整，气嘴的密闭性不错。充满气后，有一定的弹性。我自己试了一下，颠球时脚感也还算舒适。以后还准备买个篮球给小朋友玩。这个赠品大礼包，打气筒特别好，万一球的气不足的话，有了打气筒就不怕了，商家真贴心！,5
尺寸正好，手感不错，快递很给力，第二天上午就收到了，商家很贴心，送了充气嘴、充气筒，球网，还有一双运动袜。,5
大小尺寸：合适。外观颜值：还好。做工质量：质量非常好。材质手感：舒服。,5
做工质量：送的棉袜柔软吸汗，Q弹饱满，韧性十足。外观颜值：高端大气上档次，低调奢华有内涵,5
好球。送的气针好用，气筒不太好用，换自己的气筒打了气，试试手感挺好的。球的质感很好，做工不错。,5
到货速度快，快递小哥服务好，球尺寸合适的，孩子踢球反馈很不错，弹性好，脚感也好，球体颜色艳丽，质量上乘，性价比真高。随赠的气筒很贴心，非常满意的一次购物，加上双十一优惠力度大，非常值得购买，犹豫的朋友可以果断出手了，期待下一次的购物！,5
排球的赠品大礼包，打气筒特别好，因为排球经常使用会缺气，有了打气筒就不怕了，商家真贴心！,5
大小尺寸：标准外观颜值：帅气做工质量：很好材质手感：舒服,5
大小尺寸：刚刚好外观颜值：很漂亮做工质量：质量很好材质手感：非常棒,5
不错的，多陪娃练球。以下文字可以不看。京东很方便，米面杂粮、瓜果梨桃、零食小吃、绘本图书、学习文具、大小家电、家居清洁、化妆洗护、服装鞋帽，全部这儿买，送货快、快递员素质高。有活动还很划算、品质有保障，值得信赖。一直京东一直爽。,5
好用，很不错的打气筒，还有几根都不错，都很好用，大过一次起嘛，用很久都没有问题没，很好，很不错,5
还可以送个4件套，要不然以后这个球打气的时候非常费劲，还得上门口修自行车的那儿打去。有了这个东西在家里自己就能打了,5
不错，作为赠品质量已经非常好了，正好不用买气针和打气筒了,5
打气筒很精致，袜子是棉质的，很细腻，不错，我喜欢！,5
宝贝收到，质量不错，小巧，不占位置，很好用，很方便，孩子非常喜欢,5
球的质量真是太好了，超级无敌好，颜色很正很漂亮，一点异味都没有，还赠送了打气筒，球袋和一双袜子。物流也超级快，京东真是比**好。,5
宝贝收到，很好很小巧，不占位置，孩子很喜欢，网兜气针也都不错，袜子有点大给我穿了。,5
大小尺寸：刚刚好。做工质量：用料很足的啊。外观颜值：不错的啊。,5
谢谢店家小礼品，袜子很好穿，舒适不紧脚，长度也够，儿子踢球天天穿,5
