comment,score
一直信耐京东，鞋子外观很漂亮，至少是我喜欢的，颜值对我来说真的很高，因为我喜欢，鞋子很轻，穿着很舒服，做工上面也很讲究，尺码都很正，就是自己定大了一码，反正试穿了一下，感觉很好，至少不会很滑，透气性也很好，非常喜欢，反正我喜欢我乐意！,5
看起来不错，买了穿着也挺好，轻，很轻，一点也不重，穿着舒服，真的挺舒服，挺不错的，价格觉得也实惠，经济实惠，好看好穿，整体来说不错，挺好。物流快递也非常非常的给你，凌晨买的，当天直接就到了，感觉非常非常的快，给快递点赞。很不错。挺好。,5
尺码大小：39码，38脚穿39码，大1指，刚好。做工细节：做工比较精细的，没有毛刺边舒适度：非常合脚，舒服，质地很轻外观颜值：样子很好看，颜值不错上脚后的效果还是很不错的，网面透气，不捂脚很舒服。做工比较精细，用料比较实在。,5
鞋子样式简洁好看，穿着特别轻便，鞋面网面比较薄的适合春夏季穿，号码比较准确，与平时穿着一致，客服可可解答细致特别表扬一下。,5
外观颜值：非常的帅气，舒适度：大小合适，穿上舒服，不挤脚做工细节：做工挺满意，没有瑕疵透气性：透气性好，没有脚气,5
鞋子收到了。发货很快快，两天就到货了。送了一双纯棉袜子，鞋子很轻，颜色同卖家图片一致哦！码数很正，选平时穿的码，穿的刚刚好，孩子很喜欢！正品！扫码查的哦！,5
外观颜值：鞋子款式非常好看，黑白颜色看起来特别休闲。舒适度：鞋子穿起来刚好合脚，走起路来特别舒服，而且很轻，周末穿着去爬山脚一点不累。做工细节：鞋子刚收检查一下做工还是可以的，质量方面有待考证中，但愿不会让我失望的。尺码大小：尺码似乎偏大了半码，不过穿上袜子也差不多了，可能是我的脚掌不够大，不过影响。抓地效果：耐不耐磨就不知道了，防滑效果也有待考证。透气性：最满意的就是透气性特别好，穿一整天脚都不,5
ANTA鞋穿着轻巧，灵活自如，很舒服。 外观设计时尚美观，有质感，做工精细，尺码准确，透气性好，适合春秋季节。京东快递送货快，很美妙的购物体验！,5
"鞋子外观很漂亮，颜色和款式都是我喜欢的，颜值是很高的，鞋子很软，穿着很软很舒服，质量和做工也是很有讲究的，细节精致,尺码适中，鞋子的透气性很好，现在穿的很凉爽，估计夏天穿的也很舒服，不愧是俺的大品牌，值得信赖!",5
一直很信赖京东，到货之后就马上穿上是的下，很轻，透气也很好，一直没在网上买过鞋子，码数刚刚好，适合跑步爬山长途远行，感谢可可，越做越强。,5
一直信耐京东，鞋子外观很漂亮，至少是我喜欢的，颜值对我来说真的很高，因为我喜欢，鞋子很轻，穿着很舒服，做工上面也很讲究，尺码都很正，就是自己定大了一码，反正试穿了一下，感觉很好，至少不会很滑，透气性也很好，非常喜欢，反正我喜欢我乐意！,5
看起来不错，买了穿着也挺好，轻，很轻，一点也不重，穿着舒服，真的挺舒服，挺不错的，价格觉得也实惠，经济实惠，好看好穿，整体来说不错，挺好。物流快递也非常非常的给你，凌晨买的，当天直接就到了，感觉非常非常的快，给快递点赞。很不错。挺好。,5
尺码大小：39码，38脚穿39码，大1指，刚好。做工细节：做工比较精细的，没有毛刺边舒适度：非常合脚，舒服，质地很轻外观颜值：样子很好看，颜值不错上脚后的效果还是很不错的，网面透气，不捂脚很舒服。做工比较精细，用料比较实在。,5
鞋子样式简洁好看，穿着特别轻便，鞋面网面比较薄的适合春夏季穿，号码比较准确，与平时穿着一致，客服可可解答细致特别表扬一下。,5
外观颜值：非常的帅气，舒适度：大小合适，穿上舒服，不挤脚做工细节：做工挺满意，没有瑕疵透气性：透气性好，没有脚气,5
鞋子收到了。发货很快快，两天就到货了。送了一双纯棉袜子，鞋子很轻，颜色同卖家图片一致哦！码数很正，选平时穿的码，穿的刚刚好，孩子很喜欢！正品！扫码查的哦！,5
